N,P,K,Temperature,Humidity,pH,Rainfall,Leaf Color,Fertility Score (%),Interpretation,Fertilizer Recommendation,Crop Recommendation
44,20,199,15.43,29.22,8.57,283.94,Dark Green,56.8,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
61,4,24,35.63,55.53,7.65,267.77,Light Yellowish Green,29.64,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
133,91,88,24.77,85.66,6.08,125.83,Light Yellowish Green,93.83,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
27,60,11,17.42,75.95,7.54,234.11,Green,81.87,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
27,21,142,36.12,58.8,5.15,142.9,Green,98.36,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
107,69,58,23.36,63.13,5.34,149.26,Very Dark Green,25.97,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
43,0,153,25.44,55.75,8.23,61.4,Light Yellowish Green,96.97,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
83,132,108,20.78,36.78,6.18,177.34,Green,43.12,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
29,11,25,27.79,60.85,8.29,55.84,Dark Green,34.75,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
74,89,46,14.91,72,8.43,99.47,Pale Green,5.03,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
127,45,31,21.73,88.6,8.65,256.51,Dark Green,5.28,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
91,33,9,39.08,67.27,9,62.12,Pale Green,69.2,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
128,77,15,17.74,78.5,6.09,21.35,Green,45.79,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
120,44,198,29.7,24.41,5.41,20.7,Very Dark Green,22.65,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
26,72,144,19.76,51.54,6.99,282.24,Dark Green,61.4,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
120,25,150,33.2,10.84,5.73,152.08,Dark Green,25.29,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
115,46,25,13.93,32.2,7.11,122.82,Dark Green,57.76,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
2,120,85,39.09,75.38,7.73,243.26,Pale Green,35.92,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
102,55,134,23.61,99.26,7.63,250.75,Green,82.36,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
136,93,13,17.08,18.93,5.75,99.66,Dark Green,82.07,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
61,106,78,12.2,46.13,4.5,208.09,Dark Green,47.74,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
50,62,116,15.09,82.01,6.08,231.34,Very Dark Green,35.08,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
58,47,6,25.59,28.36,4.36,196.4,Very Dark Green,36.26,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
117,60,136,20.11,59.96,8.84,45.48,Green,80.57,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
95,80,114,34.87,75.98,5.58,262.76,Green,32.82,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
112,25,175,22.93,65.44,4.43,161.73,Light Yellowish Green,20.91,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
61,35,71,17.46,26.92,3.65,84.74,Very Dark Green,8.47,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
51,0,58,28.51,41.98,7.37,127.57,Light Yellowish Green,46.67,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
11,7,81,31.2,80.54,7.32,11.27,Pale Green,48.21,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
38,112,115,15.01,59.88,5.54,38.36,Light Yellowish Green,84.09,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
129,98,166,15.03,10.47,3.93,229.66,Dark Green,22.12,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
130,46,145,11.1,78.49,5.96,0,Light Yellowish Green,38.1,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
112,126,186,32.09,13.18,5.37,124.97,Green,80.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
100,55,102,29.91,77.12,7.56,156.75,Pale Green,82.36,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
112,13,16,24.24,28.22,7.13,16.39,Dark Green,38.46,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
80,27,13,35.33,96.23,5.69,291.92,Light Yellowish Green,45.91,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
112,77,158,34.17,43.11,4.81,67.84,Pale Green,30.33,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
1,129,151,27.56,39.42,9.43,91.26,Pale Green,93.26,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
129,108,107,36.05,23.4,6.22,91.18,Dark Green,11.86,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
53,13,187,16.18,37.5,7.63,69.12,Light Yellowish Green,93.37,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
86,55,44,13.36,88.9,4.34,0.44,Pale Green,68.39,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
128,114,97,18.09,99.67,6.41,218.8,Pale Green,53.16,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
125,6,130,11.71,43.15,3.67,290.05,Very Dark Green,3.27,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
129,2,36,25.94,50.37,6.53,67.29,Pale Green,47.56,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
52,110,170,38.1,74.99,9.28,198.91,Very Dark Green,40.77,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
67,106,167,11.18,89.76,5.81,222.57,Light Yellowish Green,16.12,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
122,17,182,13.66,63.37,3.73,254.53,Light Yellowish Green,65.64,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
37,37,107,23.57,45.24,3.69,126.79,Light Yellowish Green,97.12,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
23,114,38,38.02,47.14,5.83,90.88,Green,56.22,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
68,14,14,19.48,72.61,4.46,97.59,Light Yellowish Green,71.48,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
115,118,119,25.22,10.29,3.64,213.79,Pale Green,6.85,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
97,27,3,11.25,65.76,8.04,245.03,Dark Green,41.77,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
138,38,92,14.45,41.99,6.25,54.48,Very Dark Green,11.64,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
96,16,152,39.6,81.48,5.24,111.28,Green,61.28,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
123,85,140,38.95,18.37,8.9,270.58,Light Yellowish Green,93.85,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
69,125,160,10.15,62.94,4.2,242.01,Light Yellowish Green,66.18,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
92,43,15,38.55,53.29,9.24,295.46,Dark Green,7.68,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
2,24,169,29.17,67.81,5.38,226.27,Dark Green,35.47,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
89,12,107,36.04,15.84,8.83,117.96,Green,55.07,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
95,24,125,23.64,62.2,7.12,177.19,Very Dark Green,40.32,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
51,67,193,25.47,60.53,8.46,198.3,Light Yellowish Green,83.36,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
127,137,54,24.67,60.46,9.4,23.54,Green,81.47,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
38,66,169,30.01,64.31,5.23,163.35,Pale Green,61.18,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
81,108,33,14.19,70.88,9.27,212.8,Pale Green,37.35,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
103,110,157,10.9,82.45,5.84,50.2,Green,25.53,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
128,110,12,19.24,34.28,5.81,234.19,Light Yellowish Green,10.59,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
10,33,140,31.14,84.25,5.54,175.13,Green,35.49,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
41,110,17,16.06,54.84,6.75,285.67,Light Yellowish Green,41.32,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
98,7,159,30.2,16.94,4.42,12.73,Dark Green,67.58,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
6,112,95,39.1,15.27,6.82,79.6,Green,65.82,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
89,82,122,12.82,40.08,6.75,180.47,Light Yellowish Green,7.01,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
111,41,38,30.18,80.64,8.07,88.97,Green,39.53,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
59,100,45,23.31,73.69,8.5,214.33,Green,18.18,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
112,5,28,36.04,80.98,6.14,227.7,Light Yellowish Green,15.68,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
1,25,189,15.31,56.55,5.31,30.75,Light Yellowish Green,82.73,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
128,63,61,30.78,49.62,5.06,154.16,Very Dark Green,4.19,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
47,58,184,35.14,23.27,4.67,152.67,Green,41.92,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
139,108,15,38.34,39.54,3.85,110.78,Pale Green,16.82,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
36,120,183,30.5,49.06,5.55,279.88,Green,87.93,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
8,32,120,24.92,17.97,5.12,248.25,Green,55.7,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
98,20,9,28.54,29.86,9.3,209.16,Light Yellowish Green,23.14,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
47,69,157,36.07,63.84,6.85,214.3,Green,50.24,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
130,111,152,27.12,76.21,5.58,138.51,Green,73.15,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
53,3,102,10.91,99.85,6.98,276.3,Pale Green,95.81,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
119,93,83,37.93,93.98,4.34,208.38,Light Yellowish Green,22.04,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
115,74,132,30.69,67.83,6.16,218.69,Green,88.62,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
74,61,64,30.3,47.91,7.26,258.51,Dark Green,93.43,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
112,93,176,16.47,67.26,6.43,82.22,Very Dark Green,91.64,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
103,94,2,29.77,80.71,5.91,242.12,Pale Green,63.54,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
83,54,172,21.82,20.65,9.46,58.57,Green,62.98,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
111,136,141,29.54,46.89,8.78,103.6,Dark Green,40.32,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
98,130,119,13.2,85.58,7.24,100.68,Green,75.24,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
92,30,157,29.74,44.54,6.92,293.56,Green,53.13,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
127,39,67,39.98,61.47,7.22,256.96,Light Yellowish Green,67.74,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
109,35,145,11.45,62.9,4.71,210.35,Light Yellowish Green,42.85,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
81,5,189,39.32,26.6,5.87,218.12,Light Yellowish Green,73.15,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
53,65,36,22.21,42.6,3.74,168.62,Dark Green,82.45,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
67,74,152,36.12,40.11,6.35,284.13,Green,14.64,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
32,3,175,33.47,12.36,6.76,148.88,Very Dark Green,83.29,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
20,78,192,27.01,12.18,4.87,114.16,Pale Green,54.03,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
47,133,180,32.15,84.85,9.28,48.91,Light Yellowish Green,84.47,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
127,117,72,36.36,34.58,8.96,235.86,Light Yellowish Green,43.13,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
135,112,142,22.12,56.63,7.83,220.33,Green,37.9,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
134,93,48,19.81,36.89,6.7,115.31,Green,91.51,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
127,61,120,30.03,94.66,8.72,7.56,Dark Green,25.12,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
32,78,87,34.24,33.34,4.28,251.7,Dark Green,84.42,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
114,135,195,32.87,48.67,8.24,3.43,Light Yellowish Green,48.4,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
118,25,139,33.93,88.55,4.25,211.11,Green,51.41,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
21,43,186,23.07,85.77,8.27,291.08,Very Dark Green,30.85,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
37,132,36,34.54,26.75,5.15,131.3,Pale Green,57.3,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
108,69,60,13.61,82.24,8.76,70.49,Green,32.52,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
50,117,170,26.33,51.24,9.16,211.46,Green,3.93,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
7,67,123,10.17,53.47,4.39,245.14,Dark Green,27.2,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
26,18,197,19.74,22.01,6.28,163.93,Pale Green,0.64,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
26,19,38,20.99,17.25,9.39,290.11,Light Yellowish Green,97.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
20,112,183,21.89,75.51,6.4,15.5,Green,96.57,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
29,139,62,30.86,54.68,8.68,151.44,Light Yellowish Green,39.52,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
96,46,45,21.66,49.32,7.03,215.54,Green,72.84,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
27,0,87,23.46,75.66,5.75,258.79,Light Yellowish Green,34.58,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
110,89,10,17.13,78.9,5.21,53.78,Pale Green,67.11,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
60,63,61,21.2,24.3,4.72,240,Dark Green,80.54,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
47,37,76,16.82,64.92,8.07,165.81,Pale Green,94.68,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
3,36,152,12.2,22.18,5.82,118.97,Very Dark Green,40.02,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
